Minisector,BOT,GAS,Fastest
0,257.6705217735752,261.1467705426046,GAS
1,132.74718074934498,131.62571075571017,BOT
2,263.0421134145893,268.5934884675742,GAS
3,303.3173114902327,314.6821853006803,GAS
4,302.84174114285713,314.94876524367857,GAS
5,309.08636979157575,325.0934523428571,GAS
6,315.2905863901235,331.2264660246914,GAS
7,316.69283943427456,325.23244874895323,GAS
8,205.07385736069347,184.36699854939488,BOT
9,198.11608139537566,196.37959673968453,BOT
10,184.47436734303437,179.3883381924198,BOT
11,167.42925946472192,169.27095009332223,GAS
12,252.37828293414955,253.514882204068,GAS
13,276.2866056894407,272.5351563,BOT
14,279.43905668253626,277.4625201501142,BOT
15,279.18456363614524,269.29191825454546,BOT
16,182.32092719325144,183.3572440606274,GAS
17,193.22027229798033,191.85340074901833,BOT
18,241.19366301681043,244.22018681040592,GAS
19,286.23177840865617,289.43431415793054,GAS
20,305.8114582761905,312.15591680775725,GAS
21,312.12890514957223,319.1672839506173,GAS
22,309.83776453192235,307.5406179377458,BOT
23,260.64389364343367,247.7247190685673,BOT
24,114.25145466071461,116.81364516171683,GAS
25,227.5249984,,BOT
