Minisector,NOR,GAS,Fastest
0,292.4475,310.35097348822455,GAS
1,289.36646836825395,318.40931356862745,GAS
2,278.27599212698414,324.0630685073223,GAS
3,228.72056700524047,219.29747029724848,NOR
4,231.97238142171426,221.72523927369122,NOR
5,112.65966127644866,112.2375878291609,NOR
6,224.05385726419752,212.2767643426565,NOR
7,273.182168530656,268.6388789264069,NOR
8,233.5036923062857,245.5196469474444,GAS
9,116.222283946683,112.75327406903287,NOR
10,238.88315915555555,233.3931294081949,NOR
11,252.5389649742443,249.25996396521737,NOR
12,135.96538073391403,135.4472326605786,NOR
13,215.56554400000002,209.80169122834437,NOR
14,266.7621210666667,271.5458163745074,GAS
15,229.5648144847253,227.97062918681317,NOR
16,157.37186477798983,150.3441739161183,NOR
17,236.91842357639075,239.8711797777778,GAS
18,125.67068941544818,129.443922224235,GAS
19,143.66392305133564,143.52875022323852,NOR
20,185.40991332316577,174.6968731,NOR
21,257.50634017391303,254.38819902333012,NOR
22,274.95876266080165,274.994189199093,GAS
23,279.3869896707483,281.0896540371882,GAS
24,289.0837796571428,289.0216820463533,NOR
25,292.9458336,293.4964278857143,GAS
