Minisector,ALO,HAM,Fastest
0,246.2112361734369,250.69756484034633,HAM
1,209.7656442408791,218.78029061651756,HAM
2,209.78064279914886,198.16032206768088,ALO
3,259.1528531652525,255.93495651091416,ALO
4,274.66577920480705,269.2279541361039,ALO
5,291.0426171248485,288.6827915426128,ALO
6,155.19665324085506,180.10876322233167,HAM
7,183.8334137452519,170.86179626431903,ALO
8,271.68799228887906,262.84300344565656,ALO
9,305.14717510442773,292.3879945446236,ALO
10,314.1227886541944,304.0417879733333,ALO
11,298.5983092397661,305.96548928048526,HAM
12,108.21635133646751,120.43917291771719,HAM
13,197.0431691168899,183.46995273147462,ALO
14,278.85216007885714,267.61448873076836,ALO
15,309.16229382633054,294.8172733927477,ALO
16,313.7820249433297,303.375781384127,ALO
17,182.37884793147504,190.54368237960182,HAM
18,223.28529542312927,212.68237499041624,ALO
19,258.4945896185034,266.8454441615238,HAM
20,147.99778991952022,156.59111537966976,HAM
21,144.21364548244898,141.63764260001224,ALO
22,219.9795187156374,220.00140154719006,HAM
23,223.569964010199,241.8518562339921,HAM
24,148.84058295505574,150.76584670042715,HAM
25,225.54000128,222.31428571428572,ALO
