Minisector,SAI,ALO,Fastest
0,278.4627191690949,275.75056561834214,SAI
1,298.46063797457543,298.0542425409862,SAI
2,297.38909087996166,294.7155440291536,SAI
3,193.88822444198385,166.11476183873037,SAI
4,121.984666765497,124.82214152436441,ALO
5,236.58592106691006,237.12388427266245,ALO
6,280.35137640221177,280.9582671162808,ALO
7,295.906988228598,291.02475431233694,SAI
8,191.68485846232718,179.8036869641667,SAI
9,148.69951110924617,146.2960939595082,SAI
10,253.1794368720366,253.89750604208692,ALO
11,289.5686260197464,290.99094435643894,ALO
12,303.45206535966247,296.75256873784457,SAI
13,288.3587500380952,287.40792847472846,SAI
14,297.7086239698866,297.59864072852605,SAI
15,292.8340896026446,298.5309078091817,ALO
16,262.5459764050832,253.2997693396825,SAI
17,241.05963096684607,234.7569352903533,SAI
18,277.6991253399586,278.59511861333334,ALO
19,296.4695597371237,298.1619900878767,ALO
20,300.86662917591497,295.9386696222222,SAI
21,249.39170000377132,239.95104775245503,SAI
22,269.4359607564199,264.4386282800762,SAI
23,145.45113951455252,142.02382660100275,SAI
24,224.00800608611348,224.12099415818594,ALO
