Minisector,PIA,NOR,Fastest
0,265.28141422603176,261.47085352893544,PIA
1,128.51328080352368,133.51817734544218,NOR
2,269.21036033352954,269.11954775254486,PIA
3,309.7587873870222,311.4376052649908,NOR
4,309.9842158692634,311.3550504740135,NOR
5,318.1068576740741,318.5697863936811,NOR
6,321.7318804875953,322.4405493236364,NOR
7,323.79041674666666,322.63138014444445,PIA
8,207.39833550213098,206.7935901084543,PIA
9,205.21819333433973,208.1577333173563,NOR
10,183.72293504038095,178.934371711247,PIA
11,177.65257183202618,176.6369894981606,PIA
12,260.90049782652017,261.15019059739797,NOR
13,285.4954483075057,279.72437348988717,PIA
14,289.52743444996634,289.9162849608211,NOR
15,280.2491628232417,275.8337330697143,PIA
16,174.11882506135643,184.56729388996163,NOR
17,203.09663681519945,200.12401609825778,PIA
18,252.2693155661612,251.33790225710763,PIA
19,294.2863159398429,293.9617247294092,PIA
20,312.79918243959634,313.3696037288312,NOR
21,317.3132608556522,318.01344698181816,NOR
22,315.0841150770794,316.221627015873,NOR
23,257.4264329829481,254.8021954858443,PIA
24,120.26167015727673,117.20756398796773,PIA
